season,league,team_name,team_abbreviation,playoffs,games_played,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
2022,NBA,Los Angeles Lakers,LAL,False,82.0,19980.0,3415.0,7279.0,0.469,982.0,2826.0,0.347,2433.0,4453.0,0.546,1380.0,1884.0,0.732,782.0,2826.0,3608.0,1968.0,626.0,425.0,1191.0,1654.0,9192.0
2022,NBA,Memphis Grizzlies,MEM,True,82.0,19780.0,3571.0,7739.0,0.461,945.0,2679.0,0.353,2626.0,5060.0,0.519,1393.0,1898.0,0.734,1159.0,2873.0,4032.0,2131.0,800.0,533.0,1082.0,1620.0,9480.0
2022,NBA,Miami Heat,MIA,True,82.0,19855.0,3246.0,6954.0,0.467,1114.0,2936.0,0.379,2132.0,4018.0,0.531,1416.0,1753.0,0.808,807.0,2778.0,3585.0,2090.0,606.0,265.0,1194.0,1679.0,9022.0
2022,NBA,Milwaukee Bucks,MIL,True,82.0,19755.0,3429.0,7331.0,0.468,1153.0,3151.0,0.366,2276.0,4180.0,0.544,1459.0,1881.0,0.776,840.0,2990.0,3830.0,1960.0,623.0,326.0,1100.0,1494.0,9470.0
2022,NBA,Minnesota Timberwolves,MIN,True,82.0,19780.0,3411.0,7458.0,0.457,1211.0,3386.0,0.358,2200.0,4072.0,0.54,1474.0,1894.0,0.778,921.0,2700.0,3621.0,2106.0,721.0,460.0,1175.0,1786.0,9507.0
2022,NBA,New Orleans Pelicans,NOP,True,82.0,19755.0,3294.0,7212.0,0.457,873.0,2629.0,0.332,2421.0,4583.0,0.528,1501.0,1903.0,0.789,981.0,2726.0,3707.0,2047.0,680.0,328.0,1153.0,1612.0,8962.0
2022,NBA,New York Knicks,NYK,False,82.0,19780.0,3088.0,7069.0,0.437,1082.0,3029.0,0.357,2006.0,4040.0,0.497,1473.0,1980.0,0.744,941.0,2841.0,3782.0,1793.0,570.0,399.0,1087.0,1672.0,8731.0
2022,NBA,Oklahoma City Thunder,OKC,False,82.0,19805.0,3141.0,7310.0,0.43,991.0,3066.0,0.323,2150.0,4244.0,0.507,1233.0,1632.0,0.756,854.0,2887.0,3741.0,1822.0,622.0,380.0,1145.0,1497.0,8506.0
2022,NBA,Orlando Magic,ORL,False,82.0,19780.0,3139.0,7240.0,0.434,999.0,3022.0,0.331,2140.0,4218.0,0.507,1270.0,1614.0,0.787,746.0,2885.0,3631.0,1947.0,555.0,367.0,1188.0,1612.0,8547.0
2022,NBA,Philadelphia 76ers,PHI,True,82.0,19805.0,3230.0,6932.0,0.466,950.0,2608.0,0.364,2280.0,4324.0,0.527,1605.0,1955.0,0.821,700.0,2770.0,3470.0,1945.0,633.0,435.0,1027.0,1590.0,9015.0
